id,case,family,query,candidate,top_id,top_text,word_a,word_b,word_a_id,word_b_id,word_a_logit,word_b_logit,word_a_probability,word_b_probability,edit_norm,capped
J04_g0_c0_recipient/none,J04_g0_c0_recipient,J04,recipient,none,10674, Elizabeth,William,Elizabeth,3977,10674,-83.09487915039062,-80.17555236816406,0.01352804008492036,0.2506584754260293,0.0,0
J04_g0_c0_color/none,J04_g0_c0_color,J04,color,none,2266, red,red,blue,2266,4171,-111.16609191894531,-112.24673461914062,0.07913556386827697,0.026856816979563474,0.0,0
J04_g0_c1_recipient/none,J04_g0_c1_recipient,J04,recipient,none,10674, Elizabeth,William,Elizabeth,3977,10674,-84.69676971435547,-81.71435546875,0.012381464114042744,0.24435321239656996,0.0,0
J04_g0_c1_color/none,J04_g0_c1_color,J04,color,none,2266, red,red,blue,2266,4171,-110.94970703125,-111.02318572998047,0.06041253530455179,0.05613266589467623,0.0,0
J04_g1_c0_recipient/none,J04_g1_c0_recipient,J04,recipient,none,3977, William,William,Elizabeth,3977,10674,-91.84114837646484,-94.16828155517578,0.19318318206130858,0.01884986382832437,0.0,0
J04_g1_c0_color/none,J04_g1_c0_color,J04,color,none,2266, red,red,blue,2266,4171,-111.13383483886719,-112.15450286865234,0.07937275159661075,0.028602299042161727,0.0,0
J04_g1_c1_recipient/none,J04_g1_c1_recipient,J04,recipient,none,3977, William,William,Elizabeth,3977,10674,-94.82772827148438,-97.10132598876953,0.1914821636432068,0.019711396021790572,0.0,0
J04_g1_c1_color/none,J04_g1_c1_color,J04,color,none,4171, blue,red,blue,2266,4171,-110.12903594970703,-110.10853576660156,0.05631590047442447,0.05748230161560022,0.0,0
J04_g0_c0_recipient/d6_internal,J04_g0_c0_recipient,J04,recipient,d6_internal,465, his,William,Elizabeth,3977,10674,-80.61588287353516,-82.58326721191406,0.11808119733252047,0.016510361647272227,32.828636169433594,0
J04_g0_c0_recipient/d6_task,J04_g0_c0_recipient,J04,recipient,d6_task,10674, Elizabeth,William,Elizabeth,3977,10674,-81.23126220703125,-78.04915618896484,0.009643881641536064,0.2323929538726193,11.946939468383789,0
J04_g0_c0_recipient/d6_yoked,J04_g0_c0_recipient,J04,recipient,d6_yoked,10674, Elizabeth,William,Elizabeth,3977,10674,-76.08104705810547,-71.3406982421875,0.0025868034426589828,0.29612206093981647,28.17900848388672,0
J04_g0_c0_recipient/d6_ridge,J04_g0_c0_recipient,J04,recipient,d6_ridge,465, his,William,Elizabeth,3977,10674,-84.85459899902344,-84.58609008789062,0.0692174459197342,0.09053729367682711,16.542814254760742,0
J04_g0_c0_recipient/reflection,J04_g0_c0_recipient,J04,recipient,reflection,465, his,William,Elizabeth,3977,10674,-85.09925079345703,-84.86053466796875,0.07715821562546794,0.09796146505491914,17.46763801574707,0
J04_g0_c0_recipient/reflection_capped,J04_g0_c0_recipient,J04,recipient,reflection_capped,465, his,William,Elizabeth,3977,10674,-85.09925079345703,-84.86053466796875,0.07715821562546794,0.09796146505491914,17.46763801574707,0
J04_g0_c0_recipient/donor,J04_g0_c0_recipient,J04,recipient,donor,465, his,William,Elizabeth,3977,10674,-90.53084564208984,-91.72804260253906,0.08577958009619673,0.025908834825743417,25.15492820739746,0
J04_g0_c0_color/d6_internal,J04_g0_c0_color,J04,color,d6_internal,2266, red,red,blue,2266,4171,-102.88972473144531,-103.69044494628906,0.05002904781758818,0.0224633159906658,60.69660949707031,0
J04_g0_c0_color/d6_task,J04_g0_c0_color,J04,color,d6_task,2266, red,red,blue,2266,4171,-113.4068603515625,-114.2552490234375,0.0832463308104723,0.03563810325627761,27.270065307617188,0
J04_g0_c0_color/d6_yoked,J04_g0_c0_color,J04,color,d6_yoked,2266, red,red,blue,2266,4171,-104.62667083740234,-105.91658020019531,0.07389053683036653,0.020341749572032258,69.50833892822266,1
