case,intent,stage,update_revision,update_scope,signature,accepted,store_revision,store_scope,operation
J00_g0_c0_recipient,keep,current,1,"[[""J00_g0_c0_recipient"", ""keep""]]",8bdcaa6db47911c4852a618e9ad022bd7ed3f764add0a83a5d32deb31400c42f,1,1,"[[""J00_g0_c0_recipient"", ""keep""]]",keep
J00_g0_c0_recipient,keep,forged_opposite,2,"[[""J00_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J00_g0_c0_recipient"", ""keep""]]",keep
J00_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c0_recipient,keep,old_replay,1,"[[""J00_g0_c0_recipient"", ""keep""]]",8bdcaa6db47911c4852a618e9ad022bd7ed3f764add0a83a5d32deb31400c42f,0,2,[],none
J00_g0_c0_recipient,swap,current,1,"[[""J00_g0_c0_recipient"", ""swap""]]",c4b9613db29f573fbaa5a63a4608c0c81e92efd92ea082f5e3bdfc68411f2ead,1,1,"[[""J00_g0_c0_recipient"", ""swap""]]",swap
J00_g0_c0_recipient,swap,forged_opposite,2,"[[""J00_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J00_g0_c0_recipient"", ""swap""]]",swap
J00_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c0_recipient,swap,old_replay,1,"[[""J00_g0_c0_recipient"", ""swap""]]",c4b9613db29f573fbaa5a63a4608c0c81e92efd92ea082f5e3bdfc68411f2ead,0,2,[],none
J00_g0_c0_color,keep,current,1,"[[""J00_g0_c0_color"", ""keep""]]",57f6e69cac67837d7b4f5c95cb8c1e4a87a410f66088b1ef69af29864149f67d,1,1,"[[""J00_g0_c0_color"", ""keep""]]",keep
J00_g0_c0_color,keep,forged_opposite,2,"[[""J00_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J00_g0_c0_color"", ""keep""]]",keep
J00_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c0_color,keep,old_replay,1,"[[""J00_g0_c0_color"", ""keep""]]",57f6e69cac67837d7b4f5c95cb8c1e4a87a410f66088b1ef69af29864149f67d,0,2,[],none
J00_g0_c0_color,swap,current,1,"[[""J00_g0_c0_color"", ""swap""]]",73a45ed84aefca7f62df892e316944aa92fbeec8469bab25eaf5db57097bc1f3,1,1,"[[""J00_g0_c0_color"", ""swap""]]",swap
J00_g0_c0_color,swap,forged_opposite,2,"[[""J00_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J00_g0_c0_color"", ""swap""]]",swap
J00_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c0_color,swap,old_replay,1,"[[""J00_g0_c0_color"", ""swap""]]",73a45ed84aefca7f62df892e316944aa92fbeec8469bab25eaf5db57097bc1f3,0,2,[],none
J00_g0_c1_recipient,keep,current,1,"[[""J00_g0_c1_recipient"", ""keep""]]",8f2d05d426ec74e9f850f82120942c66ba31a122cc556b4307c40e25a32639d5,1,1,"[[""J00_g0_c1_recipient"", ""keep""]]",keep
J00_g0_c1_recipient,keep,forged_opposite,2,"[[""J00_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J00_g0_c1_recipient"", ""keep""]]",keep
J00_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c1_recipient,keep,old_replay,1,"[[""J00_g0_c1_recipient"", ""keep""]]",8f2d05d426ec74e9f850f82120942c66ba31a122cc556b4307c40e25a32639d5,0,2,[],none
J00_g0_c1_recipient,swap,current,1,"[[""J00_g0_c1_recipient"", ""swap""]]",b2cb316971045e360a092f5d688bfb27ca4ae9230a2cb5cfa145460582fb79f8,1,1,"[[""J00_g0_c1_recipient"", ""swap""]]",swap
J00_g0_c1_recipient,swap,forged_opposite,2,"[[""J00_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J00_g0_c1_recipient"", ""swap""]]",swap
J00_g0_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c1_recipient,swap,old_replay,1,"[[""J00_g0_c1_recipient"", ""swap""]]",b2cb316971045e360a092f5d688bfb27ca4ae9230a2cb5cfa145460582fb79f8,0,2,[],none
J00_g0_c1_color,keep,current,1,"[[""J00_g0_c1_color"", ""keep""]]",5f8bb24a7a3454e8c4bcd857861b29c06c612a3a605dbfdbf7c4ea8b793db6fc,1,1,"[[""J00_g0_c1_color"", ""keep""]]",keep
