case,double_reflection_max_error,orthogonal_complement_max_error
J00_g0_c0_recipient,9.5367431640625e-07,1.6838478659186862e-06
J00_g0_c0_color,4.76837158203125e-07,1.7616632703720825e-06
J00_g0_c1_recipient,4.76837158203125e-07,1.2716202788531916e-06
J00_g0_c1_color,4.76837158203125e-07,1.6263797952831283e-06
J00_g1_c0_recipient,9.5367431640625e-07,1.6162548588383174e-06
J00_g1_c0_color,4.76837158203125e-07,1.0333888957880788e-06
J00_g1_c1_recipient,4.76837158203125e-07,1.0289775316252303e-06
J00_g1_c1_color,1.9073486328125e-06,1.5994900870452966e-06
J01_g0_c0_recipient,4.76837158203125e-07,1.6297456051361792e-06
J01_g0_c0_color,4.76837158203125e-07,1.5564751993935033e-06
J01_g0_c1_recipient,4.76837158203125e-07,1.050385055823e-06
J01_g0_c1_color,9.5367431640625e-07,1.6274165308693966e-06
J01_g1_c0_recipient,9.5367431640625e-07,1.4517806805613986e-06
J01_g1_c0_color,4.76837158203125e-07,7.726991988477039e-07
J01_g1_c1_recipient,4.76837158203125e-07,1.7329693662304635e-06
J01_g1_c1_color,4.76837158203125e-07,1.5803544912706968e-06
J02_g0_c0_recipient,4.76837158203125e-07,9.552673192469996e-07
J02_g0_c0_color,9.5367431640625e-07,1.055783520165221e-06
J02_g0_c1_recipient,9.5367431640625e-07,9.65330932078956e-07
J02_g0_c1_color,9.5367431640625e-07,1.7005234624889454e-06
J02_g1_c0_recipient,4.76837158203125e-07,1.1240305993198696e-06
J02_g1_c0_color,4.76837158203125e-07,1.771258543392662e-06
J02_g1_c1_recipient,9.5367431640625e-07,1.377182494266549e-06
J02_g1_c1_color,4.76837158203125e-07,1.2780210099094802e-06
J03_g0_c0_recipient,4.76837158203125e-07,1.6187425444513792e-06
J03_g0_c0_color,9.5367431640625e-07,1.67210823409647e-06
J03_g0_c1_recipient,4.76837158203125e-07,1.6284410779832115e-06
J03_g0_c1_color,4.76837158203125e-07,1.6743100630378649e-06
J03_g1_c0_recipient,4.76837158203125e-07,1.1547806724188092e-06
J03_g1_c0_color,4.76837158203125e-07,1.397834200389525e-06
J03_g1_c1_recipient,4.76837158203125e-07,1.6401898834395023e-06
J03_g1_c1_color,4.76837158203125e-07,6.418046929468346e-07
