case,family,giver,color,query,intent,arm,measurement_id,expected,top_id,top_text,correct,invalid,target_probability,contrast,edit_norm,capped,prohibited_proposal,useful_execution,unauthorized_execution
J00_g0_c0_recipient,J00,William,red,recipient,keep,no_edit,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,d6_internal,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,d6_task,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,d6_yoked,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,d6_ridge,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,reflection,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,reflection_capped,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,intent_blind_reflection,J00_g0_c0_recipient/reflection,Elizabeth,262, the,0,1,0.045434846119276937,-0.00972747802734375,19.76215934753418,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,wrong_intent_reflection,J00_g0_c0_recipient/reflection,Elizabeth,262, the,0,1,0.045434846119276937,-0.00972747802734375,19.76215934753418,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,current_donor_oracle,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,textual_update,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,keep,revoked_reflection,J00_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.21365241184267275,3.4654998779296875,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,no_edit,J00_g0_c0_recipient/none,William,10674, Elizabeth,0,0,0.006678213908653941,-3.4654998779296875,0.0,0,1,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,d6_internal,J00_g0_c0_recipient/d6_internal,William,262, the,0,1,0.06620394976581517,1.0213394165039062,25.744911193847656,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,d6_task,J00_g0_c0_recipient/d6_task,William,3977, William,1,0,0.13322066493231702,2.4970703125,37.265846252441406,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,d6_yoked,J00_g0_c0_recipient/d6_yoked,William,262, the,0,1,0.04318987890114888,0.00278472900390625,19.539236068725586,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,d6_ridge,J00_g0_c0_recipient/d6_ridge,William,262, the,0,1,0.045597575595593715,-0.02939605712890625,19.700801849365234,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,reflection,J00_g0_c0_recipient/reflection,William,262, the,0,1,0.0458789691832043,0.00972747802734375,19.76215934753418,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,reflection_capped,J00_g0_c0_recipient/reflection_capped,William,262, the,0,1,0.0458789691832043,0.00972747802734375,19.76215934753418,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,intent_blind_reflection,J00_g0_c0_recipient/reflection,William,262, the,0,1,0.0458789691832043,0.00972747802734375,19.76215934753418,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,wrong_intent_reflection,J00_g0_c0_recipient/none,William,10674, Elizabeth,0,0,0.006678213908653941,-3.4654998779296875,0.0,0,1,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,current_donor_oracle,J00_g0_c0_recipient/donor,William,262, the,0,1,0.07658555235909531,1.3778915405273438,29.50972557067871,0,0,0,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,textual_update,J00_g1_c0_recipient/none,William,3977, William,1,0,0.1381028580234292,1.8876419067382812,0.0,0,0,1,0
J00_g0_c0_recipient,J00,William,red,recipient,swap,revoked_reflection,J00_g0_c0_recipient/none,William,10674, Elizabeth,0,0,0.006678213908653941,-3.4654998779296875,0.0,0,1,0,0
J00_g0_c0_color,J00,William,red,color,keep,no_edit,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,d6_internal,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,d6_task,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,d6_yoked,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,d6_ridge,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,reflection,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,reflection_capped,J00_g0_c0_color/none,red,2266, red,1,0,0.09341023688275979,1.01361083984375,0.0,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,intent_blind_reflection,J00_g0_c0_color/reflection,red,2266, red,1,0,0.08922138297991856,1.2120437622070312,35.319522857666016,0,0,0,0
J00_g0_c0_color,J00,William,red,color,keep,wrong_intent_reflection,J00_g0_c0_color/reflection,red,2266, red,1,0,0.08922138297991856,1.2120437622070312,35.319522857666016,0,0,0,0
