id,case,family,color,giver,arm,query,top_id,top_text,swap_target,original_target,swap_correct,original_correct,invalid,swap_probability,original_probability,word_logits,word_probabilities,input_cache_sha256,suffix_ids,output_cache_sha256,max_logit_change_vs_unedited
J00_g0_c0_recipient/no_edit/later_giver,J00_g0_c0_recipient,J00,red,William,no_edit,later_giver,257, a,Elizabeth,William,0,0,1,0.013417121508145873,0.026208591579993223,"{""William"": -104.35484313964844, ""Elizabeth"": -105.02439880371094, ""red"": -110.28285217285156, ""blue"": -111.15274810791016}","{""William"": 0.026208591579993223, ""Elizabeth"": 0.013417121508145873, ""red"": 6.981392760078769e-05, ""blue"": 2.925169704516623e-05}",682fade2b616214a004159428f03ea6e9c5acfde1d640cf92faca7c1d147e0cc,"[2130, 13, 383, 308, 1428, 373]",128cb3c6381bdcf8365d5efafc3f505f1509c3e45f69e9fdac75b071689ee3d7,0.0
J00_g0_c0_recipient/no_edit/later_color,J00_g0_c0_recipient,J00,red,William,no_edit,later_color,2266, red,red,red,1,1,0,0.07955943778132836,0.07955943778132836,"{""William"": -120.22712707519531, ""Elizabeth"": -121.9029769897461, ""red"": -115.6394271850586, ""blue"": -116.78658294677734}","{""William"": 0.0008096157692778988, ""Elizabeth"": 0.00015151882303023927, ""red"": 0.07955943778132836, ""blue"": 0.02526319581241236}",682fade2b616214a004159428f03ea6e9c5acfde1d640cf92faca7c1d147e0cc,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",fc1feab8e361a278bfd591ed14b101a3e69ed5eda068c2c2fff2d7c2158d06bf,0.0
J00_g0_c0_recipient/internal/later_giver,J00_g0_c0_recipient,J00,red,William,internal,later_giver,257, a,Elizabeth,William,0,0,1,0.012975718682562247,0.027586368634647033,"{""William"": -104.65464782714844, ""Elizabeth"": -105.40888977050781, ""red"": -110.68805694580078, ""blue"": -111.58671569824219}","{""William"": 0.027586368634647033, ""Elizabeth"": 0.012975718682562247, ""red"": 6.613300364740928e-05, ""blue"": 2.692376001157622e-05}",5d5451e3e027b99be59c82026511ad0ae8ddeb430080bd33c759d492c14ab7f8,"[2130, 13, 383, 308, 1428, 373]",4b40db0b582c7bae50e0084f283ce20849e756167e5599e01c6426dbabf345ec,0.55926513671875
J00_g0_c0_recipient/internal/later_color,J00_g0_c0_recipient,J00,red,William,internal,later_color,2266, red,red,red,1,1,0,0.07838932499500036,0.07838932499500036,"{""William"": -119.81761169433594, ""Elizabeth"": -121.54035186767578, ""red"": -115.30084991455078, ""blue"": -116.43810272216797}","{""William"": 0.0008563517858565785, ""Elizabeth"": 0.00015292400263192203, ""red"": 0.07838932499500036, ""blue"": 0.02513936513573767}",5d5451e3e027b99be59c82026511ad0ae8ddeb430080bd33c759d492c14ab7f8,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",ebc350bab729968164fb29979820a3dab5ddebd96cb121d06949d487e7dec2fe,0.5404052734375
J00_g0_c0_recipient/task/later_giver,J00_g0_c0_recipient,J00,red,William,task,later_giver,257, a,Elizabeth,William,0,0,1,0.012072952921023417,0.02691160538810586,"{""William"": -104.74011993408203, ""Elizabeth"": -105.54170989990234, ""red"": -110.73933410644531, ""blue"": -111.5811996459961}","{""William"": 0.02691160538810586, ""Elizabeth"": 0.012072952921023417, ""red"": 6.675964139710284e-05, ""blue"": 2.8767123435591163e-05}",eab63f321a9e42aede0f304515a5d93636b3268a201eeb6f9845046d0c72ea13,"[2130, 13, 383, 308, 1428, 373]",9018f899c875843e7b37d72538bc634706a307c81871722e0b56530a6af57eb4,0.6100311279296875
J00_g0_c0_recipient/task/later_color,J00_g0_c0_recipient,J00,red,William,task,later_color,2266, red,red,red,1,1,0,0.07817097272934792,0.07817097272934792,"{""William"": -119.5007553100586, ""Elizabeth"": -121.26192474365234, ""red"": -114.96720123291016, ""blue"": -116.117919921875}","{""William"": 0.0008397461029511181, ""Elizabeth"": 0.00014430514992556023, ""red"": 0.07817097272934792, ""blue"": 0.024734021806447615}",eab63f321a9e42aede0f304515a5d93636b3268a201eeb6f9845046d0c72ea13,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",bff6a27ef00f28d52cd22d457887e63b3e376afe85b1909e4029354c65f4ce21,0.8571090698242188
J00_g0_c0_recipient/yoked/later_giver,J00_g0_c0_recipient,J00,red,William,yoked,later_giver,257, a,Elizabeth,William,0,0,1,0.012969927091407756,0.027238465364577975,"{""William"": -104.73515319824219, ""Elizabeth"": -105.4771499633789, ""red"": -110.75102233886719, ""blue"": -111.59276580810547}","{""William"": 0.027238465364577975, ""Elizabeth"": 0.012969927091407756, ""red"": 6.645441876103316e-05, ""blue"": 2.863909697069682e-05}",3b3af88fe0aa7c4fc865cd4a4c1e6d65719ba54af8b1c52046f06db81fc5c028,"[2130, 13, 383, 308, 1428, 373]",67cefcc35afdf9dec64fc5606a54e180e1a621c31cc3f4fd4175223ec41dd01b,0.58056640625
J00_g0_c0_recipient/yoked/later_color,J00_g0_c0_recipient,J00,red,William,yoked,later_color,2266, red,red,red,1,1,0,0.08053665131080669,0.08053665131080669,"{""William"": -119.89344787597656, ""Elizabeth"": -121.6639404296875, ""red"": -115.35139465332031, ""blue"": -116.49398803710938}","{""William"": 0.0008578372815172874, ""Elizabeth"": 0.00014604603485130816, ""red"": 0.08053665131080669, ""blue"": 0.025690441401264343}",3b3af88fe0aa7c4fc865cd4a4c1e6d65719ba54af8b1c52046f06db81fc5c028,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",01685c5ae0b984e3f4b48b96261914dea67db874aedaa243d3e5ca1d2a2f476e,0.423309326171875
J00_g0_c0_recipient/supervised_ridge/later_giver,J00_g0_c0_recipient,J00,red,William,supervised_ridge,later_giver,257, a,Elizabeth,William,0,0,1,0.012969973208244848,0.026659600317374393,"{""William"": -104.55619812011719, ""Elizabeth"": -105.2767105102539, ""red"": -110.56732177734375, ""blue"": -111.41616821289062}","{""William"": 0.026659600317374393, ""Elizabeth"": 0.012969973208244848, ""red"": 6.535153603563063e-05, ""blue"": 2.796446253819287e-05}",d13e28bc4c7ee29966396f27b0da85569dedc239879b718d6dbfa0607d8ff8e6,"[2130, 13, 383, 308, 1428, 373]",bb966afa414677c2a7dfa872bbdaf8c05fd538900b60ddc93a7ceb2dea1635ca,0.36910247802734375
J00_g0_c0_recipient/supervised_ridge/later_color,J00_g0_c0_recipient,J00,red,William,supervised_ridge,later_color,2266, red,red,red,1,1,0,0.07891835265899613,0.07891835265899613,"{""William"": -119.45553588867188, ""Elizabeth"": -121.23394012451172, ""red"": -114.94439697265625, ""blue"": -116.13803100585938}","{""William"": 0.0008669923648561917, ""Elizabeth"": 0.0001464414858252142, ""red"": 0.07891835265899613, ""blue"": 0.023921551144974806}",d13e28bc4c7ee29966396f27b0da85569dedc239879b718d6dbfa0607d8ff8e6,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",347c16c5ef4422b9b74004e26b7522a10567fff8665f0070a69dc2a3341f485f,0.880706787109375
J00_g0_c0_recipient/reflection/later_giver,J00_g0_c0_recipient,J00,red,William,reflection,later_giver,257, a,Elizabeth,William,0,0,1,0.012939457102307927,0.02654011847368689,"{""William"": -104.69442749023438, ""Elizabeth"": -105.41280364990234, ""red"": -110.70767974853516, ""blue"": -111.56356811523438}","{""William"": 0.02654011847368689, ""Elizabeth"": 0.012939457102307927, ""red"": 6.49203097273179e-05, ""blue"": 2.7585000003281048e-05}",0e37bbeb6bbf1a93593da8b86b4c2a879d2f2ff179c76120e0c6382755218d3f,"[2130, 13, 383, 308, 1428, 373]",46f1575856925a927c30e1e25315c5c5921eda95e3ded274078afa538c0db362,0.5306320190429688
J00_g0_c0_recipient/reflection/later_color,J00_g0_c0_recipient,J00,red,William,reflection,later_color,2266, red,red,red,1,1,0,0.07724962215768391,0.07724962215768391,"{""William"": -120.17855834960938, ""Elizabeth"": -121.97217559814453, ""red"": -115.75806427001953, ""blue"": -116.89840698242188}","{""William"": 0.0009291806943043935, ""Elizabeth"": 0.00015457601401775743, ""red"": 0.07724962215768391, ""blue"": 0.024697433027000566}",0e37bbeb6bbf1a93593da8b86b4c2a879d2f2ff179c76120e0c6382755218d3f,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",f6a69f225e7fb26fdb96dcfee27c83a76294e5bf2a34a8cc39b692820a403d02,0.3020477294921875
J00_g0_c0_recipient/residual_donor/later_giver,J00_g0_c0_recipient,J00,red,William,residual_donor,later_giver,257, a,Elizabeth,William,0,0,1,0.012752735384581668,0.027568693822770243,"{""William"": -104.26385498046875, ""Elizabeth"": -105.0347900390625, ""red"": -110.28299713134766, ""blue"": -111.15248107910156}","{""William"": 0.027568693822770243, ""Elizabeth"": 0.012752735384581668, ""red"": 6.704030296010073e-05, ""blue"": 2.81011367007153e-05}",c61e52e504c2205cbe4e18d585d2d84ef974affe9ae6fc04d07e743592a40fdc,"[2130, 13, 383, 308, 1428, 373]",f564d9ad081016322dcf964c19adbde24e37a73cbc92510af6238cf4c3a1d369,0.1790924072265625
J00_g0_c0_recipient/residual_donor/later_color,J00_g0_c0_recipient,J00,red,William,residual_donor,later_color,2266, red,red,red,1,1,0,0.08200624442823114,0.08200624442823114,"{""William"": -119.29212188720703, ""Elizabeth"": -121.04706573486328, ""red"": -114.72795104980469, ""blue"": -115.86939239501953}","{""William"": 0.0008543832276967058, ""Elizabeth"": 0.0001477373433265103, ""red"": 0.08200624442823114, ""blue"": 0.026189381718864257}",c61e52e504c2205cbe4e18d585d2d84ef974affe9ae6fc04d07e743592a40fdc,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",1935a46e04eb43868fab2b713664794b286b9d5edf0647c58db2ed108350d030,1.0419387817382812
J00_g0_c0_recipient/prefix_donor/later_giver,J00_g0_c0_recipient,J00,red,William,prefix_donor,later_giver,257, a,Elizabeth,William,0,0,1,0.023773824661080366,0.03482718362880721,"{""William"": -104.93759155273438, ""Elizabeth"": -105.31940460205078, ""red"": -111.188720703125, ""blue"": -112.18364715576172}","{""William"": 0.03482718362880721, ""Elizabeth"": 0.023773824661080366, ""red"": 6.715640817718954e-05, ""blue"": 2.483112475107328e-05}",aa5b102a682ee36676a10bd25a623e8145132e3c0c56197cf7b28c5ef574792d,"[2130, 13, 383, 308, 1428, 373]",c34636be2f3f58ab09a088f78180f44cae772ec0fe5deafcae6303c658d23339,2.096710205078125
J00_g0_c0_recipient/prefix_donor/later_color,J00_g0_c0_recipient,J00,red,William,prefix_donor,later_color,2266, red,red,red,1,1,0,0.08091674316207531,0.08091674316207531,"{""William"": -119.93115997314453, ""Elizabeth"": -119.95491790771484, ""red"": -114.94994354248047, ""blue"": -116.1365737915039}","{""William"": 0.0005555505545232251, ""Elizabeth"": 0.0005425073738166489, ""red"": 0.08091674316207531, ""blue"": 0.024699685600785778}",aa5b102a682ee36676a10bd25a623e8145132e3c0c56197cf7b28c5ef574792d,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",6af68afd9981228c39bc3893cfb27518f9d21b424563c1aefeaee38850ec4b12,1.9863357543945312
J00_g0_c0_recipient/internal_restore_upper/later_giver,J00_g0_c0_recipient,J00,red,William,internal_restore_upper,later_giver,257, a,Elizabeth,William,0,0,1,0.013417121508145873,0.026208591579993223,"{""William"": -104.35484313964844, ""Elizabeth"": -105.02439880371094, ""red"": -110.28285217285156, ""blue"": -111.15274810791016}","{""William"": 0.026208591579993223, ""Elizabeth"": 0.013417121508145873, ""red"": 6.981392760078769e-05, ""blue"": 2.925169704516623e-05}",682fade2b616214a004159428f03ea6e9c5acfde1d640cf92faca7c1d147e0cc,"[2130, 13, 383, 308, 1428, 373]",128cb3c6381bdcf8365d5efafc3f505f1509c3e45f69e9fdac75b071689ee3d7,0.0
J00_g0_c0_recipient/internal_restore_upper/later_color,J00_g0_c0_recipient,J00,red,William,internal_restore_upper,later_color,2266, red,red,red,1,1,0,0.07955943778132836,0.07955943778132836,"{""William"": -120.22712707519531, ""Elizabeth"": -121.9029769897461, ""red"": -115.6394271850586, ""blue"": -116.78658294677734}","{""William"": 0.0008096157692778988, ""Elizabeth"": 0.00015151882303023927, ""red"": 0.07955943778132836, ""blue"": 0.02526319581241236}",682fade2b616214a004159428f03ea6e9c5acfde1d640cf92faca7c1d147e0cc,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",fc1feab8e361a278bfd591ed14b101a3e69ed5eda068c2c2fff2d7c2158d06bf,0.0
J00_g0_c0_recipient/internal_restore_lower/later_giver,J00_g0_c0_recipient,J00,red,William,internal_restore_lower,later_giver,257, a,Elizabeth,William,0,0,1,0.012975718682562247,0.027586368634647033,"{""William"": -104.65464782714844, ""Elizabeth"": -105.40888977050781, ""red"": -110.68805694580078, ""blue"": -111.58671569824219}","{""William"": 0.027586368634647033, ""Elizabeth"": 0.012975718682562247, ""red"": 6.613300364740928e-05, ""blue"": 2.692376001157622e-05}",5d5451e3e027b99be59c82026511ad0ae8ddeb430080bd33c759d492c14ab7f8,"[2130, 13, 383, 308, 1428, 373]",4b40db0b582c7bae50e0084f283ce20849e756167e5599e01c6426dbabf345ec,0.55926513671875
J00_g0_c0_recipient/internal_restore_lower/later_color,J00_g0_c0_recipient,J00,red,William,internal_restore_lower,later_color,2266, red,red,red,1,1,0,0.07838932499500036,0.07838932499500036,"{""William"": -119.81761169433594, ""Elizabeth"": -121.54035186767578, ""red"": -115.30084991455078, ""blue"": -116.43810272216797}","{""William"": 0.0008563517858565785, ""Elizabeth"": 0.00015292400263192203, ""red"": 0.07838932499500036, ""blue"": 0.02513936513573767}",5d5451e3e027b99be59c82026511ad0ae8ddeb430080bd33c759d492c14ab7f8,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",ebc350bab729968164fb29979820a3dab5ddebd96cb121d06949d487e7dec2fe,0.5404052734375
