id,case,family,color,giver,arm,query,top_id,top_text,swap_target,original_target,swap_correct,original_correct,invalid,swap_probability,original_probability,word_logits,word_probabilities,source_measurement,output_cache_sha256,continuation_cache_sha256
J02_g0_c0_recipient/no_edit/initial_recipient,J02_g0_c0_recipient,J02,red,William,no_edit,initial_recipient,10674, Elizabeth,William,Elizabeth,0,1,0,0.008981098122563173,0.3521966002127765,"{""William"": -78.60694122314453, ""Elizabeth"": -74.93787384033203, ""red"": -84.87198638916016, ""blue"": -84.90741729736328}","{""William"": 0.008981098122563173, ""Elizabeth"": 0.3521966002127765, ""red"": 1.707870341772502e-05, ""blue"": 1.648418382215414e-05}",J02_g0_c0_recipient/none,4911b8876f1bd29be54d2a485e66a5bdfdf61a19222cb7c1f4e4e23205a78631,4911b8876f1bd29be54d2a485e66a5bdfdf61a19222cb7c1f4e4e23205a78631
J02_g0_c0_recipient/internal/initial_recipient,J02_g0_c0_recipient,J02,red,William,internal,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.17936379626857887,0.040543312075994015,"{""William"": -81.96177673339844, ""Elizabeth"": -83.44882202148438, ""red"": -91.06072235107422, ""blue"": -90.89277648925781}","{""William"": 0.17936379626857887, ""Elizabeth"": 0.040543312075994015, ""red"": 2.0049932477532788e-05, ""blue"": 2.3716515164881397e-05}",J02_g0_c0_recipient/d6_internal,6013e6bd30d88474825a35edc38bc926ac3e437bca2cb7d374dc90674669d392,6013e6bd30d88474825a35edc38bc926ac3e437bca2cb7d374dc90674669d392
J02_g0_c0_recipient/task/initial_recipient,J02_g0_c0_recipient,J02,red,William,task,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.43427023657732705,0.008227172000830575,"{""William"": -82.66349792480469, ""Elizabeth"": -86.62972259521484, ""red"": -92.70603942871094, ""blue"": -92.56307220458984}","{""William"": 0.43427023657732705, ""Elizabeth"": 0.008227172000830575, ""red"": 1.8894687167979198e-05, ""blue"": 2.1798649197258726e-05}",J02_g0_c0_recipient/d6_task,f90e78febfd30db26e149a5ca8ffdf73fb37d89dc4dbee84aaf5f3e340c40853,f90e78febfd30db26e149a5ca8ffdf73fb37d89dc4dbee84aaf5f3e340c40853
J02_g0_c0_recipient/yoked/initial_recipient,J02_g0_c0_recipient,J02,red,William,yoked,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.16807491496208435,0.04578989473907873,"{""William"": -84.18592071533203, ""Elizabeth"": -85.48626708984375, ""red"": -93.02976989746094, ""blue"": -92.89227294921875}","{""William"": 0.16807491496208435, ""Elizabeth"": 0.04578989473907873, ""red"": 2.4247557708402026e-05, ""blue"": 2.78216041753493e-05}",J02_g0_c0_recipient/d6_yoked,4045c34647b778eb922bd0655e1928feb06147361e427cfe1618a281ab4dc3d8,4045c34647b778eb922bd0655e1928feb06147361e427cfe1618a281ab4dc3d8
J02_g0_c0_recipient/supervised_ridge/initial_recipient,J02_g0_c0_recipient,J02,red,William,supervised_ridge,initial_recipient,465, his,William,Elizabeth,0,0,1,0.09966052458002005,0.10045979850642427,"{""William"": -82.19770050048828, ""Elizabeth"": -82.18971252441406, ""red"": -90.70923614501953, ""blue"": -90.56424713134766}","{""William"": 0.09966052458002005, ""Elizabeth"": 0.10045979850642427, ""red"": 2.00451913282851e-05, ""blue"": 2.317277978393023e-05}",J02_g0_c0_recipient/d6_ridge,79b1be32222c29d6684357f5885c8f4573683e9238f91af793d3a5a2220c79e4,79b1be32222c29d6684357f5885c8f4573683e9238f91af793d3a5a2220c79e4
J02_g0_c0_recipient/reflection/initial_recipient,J02_g0_c0_recipient,J02,red,William,reflection,initial_recipient,465, his,William,Elizabeth,0,0,1,0.09875592001564876,0.09810633340986875,"{""William"": -82.6611328125, ""Elizabeth"": -82.66773223876953, ""red"": -91.11576080322266, ""blue"": -90.98255157470703}","{""William"": 0.09875592001564876, ""Elizabeth"": 0.09810633340986875, ""red"": 2.1026396819362815e-05, ""blue"": 2.4022427382871834e-05}",J02_g0_c0_recipient/reflection,e5323629fffad35dfcd2cc791e044cfb04db59c6976d6f56f268c5e756a5a773,e5323629fffad35dfcd2cc791e044cfb04db59c6976d6f56f268c5e756a5a773
J02_g0_c0_recipient/residual_donor/initial_recipient,J02_g0_c0_recipient,J02,red,William,residual_donor,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.15603199446738517,0.07075753814079962,"{""William"": -83.09080505371094, ""Elizabeth"": -83.88160705566406, ""red"": -92.17881774902344, ""blue"": -92.0830078125}","{""William"": 0.15603199446738517, ""Elizabeth"": 0.07075753814079962, ""red"": 1.7633555733989374e-05, ""blue"": 1.9406607466802812e-05}",J02_g0_c0_recipient/donor,90176510b6fa21cc030c6a56b7187d2f64596f116076d4afc8d7de5cf4396103,90176510b6fa21cc030c6a56b7187d2f64596f116076d4afc8d7de5cf4396103
J02_g0_c0_recipient/prefix_donor/initial_recipient,J02_g0_c0_recipient,J02,red,William,prefix_donor,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.2555035411141243,0.052805845204277516,"{""William"": -82.80728149414062, ""Elizabeth"": -84.38389587402344, ""red"": -92.2901840209961, ""blue"": -92.59469604492188}","{""William"": 0.2555035411141243, ""Elizabeth"": 0.052805845204277516, ""red"": 1.9454706519343003e-05, ""blue"": 1.4347518455125047e-05}",J02_g1_c0_recipient/none,a95c48cf958a78d9bd6cdb195c9cdfcbc54c4600db0742776d77f98bf6f9c083,a95c48cf958a78d9bd6cdb195c9cdfcbc54c4600db0742776d77f98bf6f9c083
J02_g0_c0_recipient/internal_restore_upper/initial_recipient,J02_g0_c0_recipient,J02,red,William,internal_restore_upper,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.17936379626857887,0.040543312075994015,"{""William"": -81.96177673339844, ""Elizabeth"": -83.44882202148438, ""red"": -91.06072235107422, ""blue"": -90.89277648925781}","{""William"": 0.17936379626857887, ""Elizabeth"": 0.040543312075994015, ""red"": 2.0049932477532788e-05, ""blue"": 2.3716515164881397e-05}",J02_g0_c0_recipient/d6_internal,6013e6bd30d88474825a35edc38bc926ac3e437bca2cb7d374dc90674669d392,4911b8876f1bd29be54d2a485e66a5bdfdf61a19222cb7c1f4e4e23205a78631
J02_g0_c0_recipient/internal_restore_lower/initial_recipient,J02_g0_c0_recipient,J02,red,William,internal_restore_lower,initial_recipient,3977, William,William,Elizabeth,1,0,0,0.17936379626857887,0.040543312075994015,"{""William"": -81.96177673339844, ""Elizabeth"": -83.44882202148438, ""red"": -91.06072235107422, ""blue"": -90.89277648925781}","{""William"": 0.17936379626857887, ""Elizabeth"": 0.040543312075994015, ""red"": 2.0049932477532788e-05, ""blue"": 2.3716515164881397e-05}",J02_g0_c0_recipient/d6_internal,6013e6bd30d88474825a35edc38bc926ac3e437bca2cb7d374dc90674669d392,6013e6bd30d88474825a35edc38bc926ac3e437bca2cb7d374dc90674669d392
