id,case,family,color,giver,arm,query,top_id,top_text,swap_target,original_target,swap_correct,original_correct,invalid,swap_probability,original_probability,word_logits,word_probabilities,source_measurement,output_cache_sha256,continuation_cache_sha256
J05_g0_c0_recipient/no_edit/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,no_edit,initial_recipient,14919, Susan,Joseph,Susan,0,1,0,0.03222734634054882,0.3395911589395527,"{""Joseph"": -79.76502227783203, ""Susan"": -77.41009521484375, ""red"": -87.940185546875, ""blue"": -88.85192108154297}","{""Joseph"": 0.03222734634054882, ""Susan"": 0.3395911589395527, ""red"": 9.073947244466544e-06, ""blue"": 3.646150059241586e-06}",J05_g0_c0_recipient/none,8a0a738e1dd143f207e21b30a31e6afe575fa5dc01ab295fe9ad055f1d54f627,8a0a738e1dd143f207e21b30a31e6afe575fa5dc01ab295fe9ad055f1d54f627
J05_g0_c0_recipient/internal/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,internal,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.23443609441975383,0.05577784557632078,"{""Joseph"": -82.46560668945312, ""Susan"": -83.90141296386719, ""red"": -92.3235092163086, ""blue"": -92.83367919921875}","{""Joseph"": 0.23443609441975383, ""Susan"": 0.05577784557632078, ""red"": 1.226850960067215e-05, ""blue"": 7.36593358457037e-06}",J05_g0_c0_recipient/d6_internal,22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11,22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11
J05_g0_c0_recipient/task/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,task,initial_recipient,14919, Susan,Joseph,Susan,0,1,0,0.010970463110142183,0.4009143242404896,"{""Joseph"": -76.33384704589844, ""Susan"": -72.73530578613281, ""red"": -83.53640747070312, ""blue"": -84.36976623535156}","{""Joseph"": 0.010970463110142183, ""Susan"": 0.4009143242404896, ""red"": 8.169448010623341e-06, ""blue"": 3.5503371790169894e-06}",J05_g0_c0_recipient/d6_task,2b209717a07fa78d584ab1c01b494610f577d8b08c525a49c3613960e219ecec,2b209717a07fa78d584ab1c01b494610f577d8b08c525a49c3613960e219ecec
J05_g0_c0_recipient/yoked/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,yoked,initial_recipient,14919, Susan,Joseph,Susan,0,1,0,0.0025907689447135147,0.44820905993611887,"{""Joseph"": -72.73213195800781, ""Susan"": -67.57882690429688, ""red"": -78.7125015258789, ""blue"": -79.56732940673828}","{""Joseph"": 0.0025907689447135147, ""Susan"": 0.44820905993611887, ""red"": 6.549183809264579e-06, ""blue"": 2.785737226824529e-06}",J05_g0_c0_recipient/d6_yoked,15a7cc2dab8ca8df46306b8f700bcea77d087bacaa324ed91506de331072029d,15a7cc2dab8ca8df46306b8f700bcea77d087bacaa324ed91506de331072029d
J05_g0_c0_recipient/supervised_ridge/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,supervised_ridge,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.3330732440148322,0.08813719586519242,"{""Joseph"": -86.96717834472656, ""Susan"": -88.29664611816406, ""red"": -97.57588958740234, ""blue"": -98.33197784423828}","{""Joseph"": 0.3330732440148322, ""Susan"": 0.08813719586519242, ""red"": 8.226876809088888e-06, ""blue"": 3.8625137313571275e-06}",J05_g0_c0_recipient/d6_ridge,2355d9cd578810161d1402b1c235582512464eda3f7974032af2fc52f6bb6e96,2355d9cd578810161d1402b1c235582512464eda3f7974032af2fc52f6bb6e96
J05_g0_c0_recipient/reflection/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,reflection,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.3616645346283894,0.0887379625021076,"{""Joseph"": -87.37376403808594, ""Susan"": -88.77879333496094, ""red"": -98.17839813232422, ""blue"": -98.92738342285156}","{""Joseph"": 0.3616645346283894, ""Susan"": 0.0887379625021076, ""red"": 7.343666690415354e-06, ""blue"": 3.4724242337327594e-06}",J05_g0_c0_recipient/reflection,48faa4ccfaf60f83e0c06ecdfcd1f64ec7b74ae6779af03a67d6addeafee7fc7,48faa4ccfaf60f83e0c06ecdfcd1f64ec7b74ae6779af03a67d6addeafee7fc7
J05_g0_c0_recipient/residual_donor/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,residual_donor,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.3973101657097347,0.02056198651132843,"{""Joseph"": -92.93721771240234, ""Susan"": -95.89849090576172, ""red"": -103.5275650024414, ""blue"": -104.00101470947266}","{""Joseph"": 0.3973101657097347, ""Susan"": 0.02056198651132843, ""red"": 9.995402511456444e-06, ""blue"": 6.225635536718851e-06}",J05_g0_c0_recipient/donor,19ff325aabbefc2c3382e970a1cdc106d1c57e0e9cfd455dd3de75b3fd86696b,19ff325aabbefc2c3382e970a1cdc106d1c57e0e9cfd455dd3de75b3fd86696b
J05_g0_c0_recipient/prefix_donor/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,prefix_donor,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.6444619244423707,0.007748639700669732,"{""Joseph"": -92.37813568115234, ""Susan"": -96.79903411865234, ""red"": -103.95298767089844, ""blue"": -104.29576873779297}","{""Joseph"": 0.6444619244423707, ""Susan"": 0.007748639700669732, ""red"": 6.057632409266364e-06, ""blue"": 4.299668665976764e-06}",J05_g1_c0_recipient/none,68406744e94526cfb40253dfd2d5fd51605cfc0d2747dcb70280a23bedb535a9,68406744e94526cfb40253dfd2d5fd51605cfc0d2747dcb70280a23bedb535a9
J05_g0_c0_recipient/internal_restore_upper/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,internal_restore_upper,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.23443609441975383,0.05577784557632078,"{""Joseph"": -82.46560668945312, ""Susan"": -83.90141296386719, ""red"": -92.3235092163086, ""blue"": -92.83367919921875}","{""Joseph"": 0.23443609441975383, ""Susan"": 0.05577784557632078, ""red"": 1.226850960067215e-05, ""blue"": 7.36593358457037e-06}",J05_g0_c0_recipient/d6_internal,22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11,8a0a738e1dd143f207e21b30a31e6afe575fa5dc01ab295fe9ad055f1d54f627
J05_g0_c0_recipient/internal_restore_lower/initial_recipient,J05_g0_c0_recipient,J05,red,Joseph,internal_restore_lower,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.23443609441975383,0.05577784557632078,"{""Joseph"": -82.46560668945312, ""Susan"": -83.90141296386719, ""red"": -92.3235092163086, ""blue"": -92.83367919921875}","{""Joseph"": 0.23443609441975383, ""Susan"": 0.05577784557632078, ""red"": 1.226850960067215e-05, ""blue"": 7.36593358457037e-06}",J05_g0_c0_recipient/d6_internal,22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11,22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11
J05_g0_c1_recipient/no_edit/initial_recipient,J05_g0_c1_recipient,J05,blue,Joseph,no_edit,initial_recipient,14919, Susan,Joseph,Susan,0,1,0,0.040111056195097756,0.2834628542604489,"{""Joseph"": -82.23825073242188, ""Susan"": -80.28282165527344, ""red"": -90.55353546142578, ""blue"": -91.19879150390625}","{""Joseph"": 0.040111056195097756, ""Susan"": 0.2834628542604489, ""red"": 9.817068573616918e-06, ""blue"": 5.1493295379573055e-06}",J05_g0_c1_recipient/none,6df230611de3daa3f98d26a6c4b56639b214a338ba4193eff23cd694da63256c,6df230611de3daa3f98d26a6c4b56639b214a338ba4193eff23cd694da63256c
J05_g0_c1_recipient/internal/initial_recipient,J05_g0_c1_recipient,J05,blue,Joseph,internal,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.23754997282665533,0.045650975955308995,"{""Joseph"": -84.76968383789062, ""Susan"": -86.41903686523438, ""red"": -94.64136505126953, ""blue"": -94.7401351928711}","{""Joseph"": 0.23754997282665533, ""Susan"": 0.045650975955308995, ""red"": 1.226135049300088e-05, ""blue"": 1.1108181815010776e-05}",J05_g0_c1_recipient/d6_internal,1133a47c801adf71e43c0cb5614746366536abf610515e14bfcfee6fdc1d9d1d,1133a47c801adf71e43c0cb5614746366536abf610515e14bfcfee6fdc1d9d1d
J05_g0_c1_recipient/task/initial_recipient,J05_g0_c1_recipient,J05,blue,Joseph,task,initial_recipient,14919, Susan,Joseph,Susan,0,1,0,0.008102531591605793,0.3768030957758535,"{""Joseph"": -78.08325958251953, ""Susan"": -74.24371337890625, ""red"": -84.98433685302734, ""blue"": -85.5147705078125}","{""Joseph"": 0.008102531591605793, ""Susan"": 0.3768030957758535, ""red"": 8.156821438508762e-06, ""blue"": 4.7990640470841545e-06}",J05_g0_c1_recipient/d6_task,5ed2aa8b87eb05208cf508a21171782491b2f779500b2fa85bbf40592aa635f2,5ed2aa8b87eb05208cf508a21171782491b2f779500b2fa85bbf40592aa635f2
J05_g0_c1_recipient/yoked/initial_recipient,J05_g0_c1_recipient,J05,blue,Joseph,yoked,initial_recipient,14919, Susan,Joseph,Susan,0,1,0,0.0018998330192858094,0.4142661884745902,"{""Joseph"": -73.60700988769531, ""Susan"": -68.2222671508789, ""red"": -79.25486755371094, ""blue"": -79.78379821777344}","{""Joseph"": 0.0018998330192858094, ""Susan"": 0.4142661884745902, ""red"": 6.697026424823602e-06, ""blue"": 3.94612050884258e-06}",J05_g0_c1_recipient/d6_yoked,5073c82c130a08416aa969e6812cc0a37c4beac5e37209d83538b08905cb73e9,5073c82c130a08416aa969e6812cc0a37c4beac5e37209d83538b08905cb73e9
J05_g0_c1_recipient/supervised_ridge/initial_recipient,J05_g0_c1_recipient,J05,blue,Joseph,supervised_ridge,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.3164668997714382,0.10290964234886094,"{""Joseph"": -88.92545318603516, ""Susan"": -90.04882049560547, ""red"": -99.51246643066406, ""blue"": -99.9822769165039}","{""Joseph"": 0.3164668997714382, ""Susan"": 0.10290964234886094, ""red"": 7.988161941039822e-06, ""blue"": 4.993565594281386e-06}",J05_g0_c1_recipient/d6_ridge,8f7d12e1b3a2f57531241226f8362fda9bc242ef14e92f11f7a0d5656fb2f1c9,8f7d12e1b3a2f57531241226f8362fda9bc242ef14e92f11f7a0d5656fb2f1c9
J05_g0_c1_recipient/reflection/initial_recipient,J05_g0_c1_recipient,J05,blue,Joseph,reflection,initial_recipient,7212, Joseph,Joseph,Susan,1,0,0,0.32460367453958316,0.09426850537132421,"{""Joseph"": -89.00017547607422, ""Susan"": -90.23663330078125, ""red"": -99.61414337158203, ""blue"": -100.06831359863281}","{""Joseph"": 0.32460367453958316, ""Susan"": 0.09426850537132421, ""red"": 7.975643688449314e-06, ""blue"": 5.064331433472568e-06}",J05_g0_c1_recipient/reflection,db492242c256639dedfa3386a761e863b6ddaa6e923d15f0925b1c04d07f5c2e,db492242c256639dedfa3386a761e863b6ddaa6e923d15f0925b1c04d07f5c2e
