sentence,arm,turn,score_input,probe,cosine_distance_from_plain,utterance,control_action
0,live_positive,0,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,1,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,2,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,3,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,4,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,5,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,6,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,7,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,8,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,9,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,10,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,11,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,12,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,13,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,14,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,15,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,16,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,17,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,18,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_positive,19,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,0,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,1,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,2,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,3,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,4,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,5,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,6,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,7,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,8,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,9,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,10,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,11,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,12,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,13,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,14,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,15,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,16,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,17,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,18,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,live_negative,19,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,random,0,30,0.4603591820910483,0.06744693398527102,The folder was placed on the desk.,none
0,random,1,30,0.4603591820910483,0.06744693398527102,The folder was placed on the desk.,none
0,random,2,70,0.4591200289697448,0.06720942224961834,The folder was placed on the desk.,none
0,random,3,60,0.4670797070342879,0.07004708294601436,The folder was placed on the desk.,none
0,random,4,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,random,5,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,random,6,90,0.4684941513545532,0.07510238210247633,The folder was placed on the desk.,none
0,random,7,20,0.45861848283346174,0.074706005366169,The folder was placed on the desk.,none
0,random,8,90,0.4684941513545532,0.07510238210247633,The folder was placed on the desk.,none
0,random,9,20,0.45861848283346174,0.074706005366169,The folder was placed on the desk.,none
0,random,10,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,random,11,70,0.4591200289697448,0.06720942224961834,The folder was placed on the desk.,none
0,random,12,30,0.4603591820910483,0.06744693398527102,The folder was placed on the desk.,none
0,random,13,30,0.4603591820910483,0.06744693398527102,The folder was placed on the desk.,none
0,random,14,40,0.4596304887525603,0.06879932363168995,The folder was placed on the desk.,none
0,random,15,80,0.46160210959196085,0.0678140333886802,The folder was placed on the desk.,none
0,random,16,60,0.4670797070342879,0.07004708294601436,The folder was placed on the desk.,none
0,random,17,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,random,18,60,0.4670797070342879,0.07004708294601436,The folder was placed on the desk.,none
0,random,19,20,0.45861848283346174,0.074706005366169,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,0,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,1,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,2,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,3,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,4,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,5,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,6,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,7,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,8,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,9,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,10,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,11,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,12,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,13,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,14,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,15,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,16,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
0,yoked_positive_next_sentence,17,50,0.4654807561321018,0.0715322391406541,The folder was placed on the desk.,none
